Region,Variety,Score
,Sauvignon Blanc-Chenin Blanc,
,Sauvignon Blanc-Sauvignon Gris,
,Sauvignon Blanc-Semillon,
,Sauvignon Blanc-Verdejo,
,Sauvignon Gris,
,Sauvignon Musqué,
,Sauvignon-Sémillon,
,Sauvignonasse,
,Savagnin,
,Savatiano,
,Scheurebe,
,Schiava,
,Schwartzriesling,
,Sciaccerellu,
,Semillon-Chardonnay,
,Semillon-Sauvignon Blanc,
,Sercial,
,Seyval Blanc,
,Sherry,
,Shiraz,
,Shiraz-Cabernet,
,Shiraz-Cabernet Sauvignon,
,Shiraz-Grenache,
,Shiraz-Malbec,
,Shiraz-Mourvèdre,
,Shiraz-Roussanne,
,Shiraz-Tempranillo,
,Shiraz-Viognier,
,Sideritis,
,Siegerrebe,
,Silvaner,
,Silvaner-Traminer,
,Siria,
,Sirica,
,Sousão,
,Souzao,
,Sparkling Blend,
,Spätburgunder,
,St. Laurent,
,St. Vincent,
,Susumaniello,
,Sylvaner,
,Symphony,
,Syrah,
,Syrah-Bonarda,
,Syrah-Cabernet,
,Syrah-Cabernet Franc,
,Syrah-Cabernet Sauvignon,
,Syrah-Carignan,
,Syrah-Grenache,
,Syrah-Grenache-Viognier,
,Syrah-Malbec,
,Syrah-Merlot,
,Syrah-Mourvèdre,
,Syrah-Petit Verdot,
,Syrah-Petite Sirah,
,Syrah-Tempranillo,
,Syrah-Viognier,
,Sämling,
,Sémillon,
,Tamianka,
,Tamjanika,
,Tannat,
,Tannat-Cabernet,
,Tannat-Cabernet Franc,
,Tannat-Merlot,
,Tannat-Syrah,
,Tempranillo,
,Tempranillo Blanco,
,Tempranillo Blend,
,Tempranillo-Cabernet Sauvignon,
,Tempranillo-Garnacha,
,Tempranillo-Malbec,
,Tempranillo-Merlot,
,Tempranillo-Shiraz,
,Tempranillo-Syrah,
,Tempranillo-Tannat,
,Teran,
,Teroldego,
,Teroldego Rotaliano,
,Terrantez,
,Thrapsathiri,
,Timorasso,
,Tinta Amarela,
,Tinta Barroca,
,Tinta Cao,
,Tinta Fina,
,Tinta Francisca,
,Tinta Madeira,
,Tinta Miúda,
,Tinta Negra Mole,
,Tinta Roriz,
,Tinta de Toro,
,Tinta del Pais,
,Tinta del Toro,
,"Tintilia ",
,Tinto Fino,
,Tinto Velasco,
,Tinto del Pais,
,Tocai,
,Tocai Friulano,
,Tokaji,
,Tokay,
,Tokay Pinot Gris,
,Torbato,
,Torontel,
,Torrontés,
,Touriga,
,Touriga Franca,
,Touriga Nacional,
,Touriga Nacional Blend,
,Touriga Nacional-Cabernet Sauvignon,
,Trajadura,
,Traminer,
,Traminette,
,Trebbiano,
,Trebbiano Spoletino,
,Trebbiano di Lugana,
,Treixadura,
,Trepat,
,Trincadeira,
,Trollinger,
,Trousseau,
,Trousseau Gris,
,Turbiana,
,Tămâioasă Românească,
,Ugni Blanc,
,Ugni Blanc-Colombard,
,Uva di Troia,
,Uvalino,
,Valdiguié,
,Valvin Muscat,
,Veltliner,
,Verdeca,
,Verdejo,
,Verdejo-Sauvignon Blanc,
,Verdejo-Viura,
,Verdelho,
,Verdicchio,
,Verdil,
,Verdosilla,
,Verduzzo,
,"Verduzzo Friulano ",
,Vermentino,
,Vermentino Nero,
,Vernaccia,
,Vespaiolo,
,Vespolina,
,Vidadillo,
,Vidal,
,Vidal Blanc,
,Vignoles,
,Vilana,
,Vinhão,
,Viognier,
,Viognier-Chardonnay,
,Viognier-Gewürztraminer,
,Viognier-Grenache Blanc,
,Viognier-Marsanne,
,Viognier-Roussanne,
,Viognier-Valdiguié,
,Viosinho,
,Vital,
,Vitovska,
,Viura,
,Viura-Chardonnay,
,Viura-Verdejo,
,Vranec,
,Weissburgunder,
,Welschriesling,
,White Blend,
,White Port,
,White Riesling,
,Xarel-lo,
,Xinisteri,
,Xinomavro,
,Xynisteri,
,Yapincak,
,Zelen,
,Zibibbo,
,Zierfandler,
,Zierfandler-Rotgipfler,
,Zinfandel,
,Zlahtina,
,Zweigelt,
,Çalkarası,
,Žilavka,
